school_name,major_name,batch,batch_year,tier
东莞理工学院,计算机科学与技术,,,national
东莞理工学院,软件工程,,,national
东莞理工学院,通信工程,,,national
中北大学,光电信息科学与工程,,,national
中北大学,化学工程与工艺,,,national
中北大学,安全工程,,,national
中北大学,市场营销,,,national
中北大学,弹药工程与爆炸技术,,,national
中北大学,微电子科学与工程,,,national
中北大学,机械设计制造及其自动化,,,national
中北大学,材料成型及控制工程,,,national
中北大学,测控技术与仪器,,,national
中北大学,特种能源技术与工程,,,national
中北大学,电子信息工程,,,national
中北大学,能源与动力工程,,,national
中北大学,自动化,,,national
中北大学,英语,,,national
中北大学,计算机科学与技术,,,national
中北大学,飞行器制造工程,,,national
中华女子学院,女性学,,,national
中华女子学院,学前教育,,,national
中华女子学院,播音与主持艺术,,,national
中华女子学院,服装与服饰设计,,,national
中华女子学院,法学,,,national
中南大学,临床医学,,,national
中南大学,交通设备与控制工程,,,national
中南大学,交通运输,,,national
中南大学,产品设计,,,national
中南大学,会计学,,,national
中南大学,信息与计算科学,,,national
中南大学,信息安全,,,national
中南大学,信息管理与信息系统,,,national
中南大学,冶金工程,,,national
中南大学,制药工程,,,national
中南大学,化学工程与工艺,,,national
中南大学,医学检验技术,,,national
中南大学,口腔医学,,,national
中南大学,国际经济与贸易,,,national
中南大学,土木工程,,,national
中南大学,地球物理学,,,national
中南大学,地理信息科学,,,national
中南大学,地质工程,,,national
中南大学,城乡规划,,,national
中南大学,城市地下空间工程,,,national
中南大学,基础医学,,,national
中南大学,安全工程,,,national
中南大学,工商管理,,,national
中南大学,应用化学,,,national
中南大学,应用物理学,,,national
中南大学,建筑学,,,national
中南大学,建筑环境与能源应用工程,,,national
中南大学,思想政治教育,,,national
中南大学,护理学,,,national
中南大学,数字出版,,,national
中南大学,数学与应用数学,,,national
中南大学,数据科学与大数据技术,,,national
中南大学,新能源材料与器件,,,national
中南大学,新能源科学与工程,,,national
中南大学,机械设计制造及其自动化,,,national
中南大学,材料科学与工程,,,national
中南大学,汉语言文学,,,national
中南大学,法医学,,,national
中南大学,法学,,,national
中南大学,测绘工程,,,national
中南大学,消防工程,,,national
中南大学,环境工程,,,national
中南大学,生物信息学,,,national
中南大学,生物工程,,,national
中南大学,生物科学,,,national
中南大学,电子信息科学与技术,,,national
中南大学,电气工程及其自动化,,,national
中南大学,矿物加工工程,,,national
中南大学,社会学,,,national
中南大学,粉体材料科学与工程,,,national
中南大学,精神医学,,,national
中南大学,统计学,,,national
中南大学,能源与动力工程,,,national
中南大学,自动化,,,national
中南大学,航空航天工程,,,national
中南大学,英语,,,national
中南大学,药学,,,national
中南大学,行政管理,,,national
中南大学,计算机科学与技术,,,national
中南大学,资源勘查工程,,,national
中南大学,车辆工程,,,national
中南大学,软件工程,,,national
中南大学,通信工程,,,national
中南大学,遥感科学与技术,,,national
中南大学,采矿工程,,,national
中南大学,金融学,,,national
中南大学,铁道工程,,,national
中南大学,音乐表演,,,national
中南大学,预防医学,,,national
中南大学,麻醉学,,,national
中南林业科技大学,产品设计,,,national
中南林业科技大学,园林,,,national
中南林业科技大学,土地资源管理,,,national
中南林业科技大学,土木工程,,,national
中南林业科技大学,工业设计,,,national
中南林业科技大学,市场营销,,,national
中南林业科技大学,旅游管理,,,national
中南林业科技大学,木材科学与工程,,,national
中南林业科技大学,机械设计制造及其自动化,,,national
中南林业科技大学,林产化工,,,national
中南林业科技大学,林学,,,national
中南林业科技大学,林学（中外合作办学）,,,national
中南林业科技大学,森林保护,,,national
中南林业科技大学,物流工程,,,national
中南林业科技大学,环境科学,,,national
中南林业科技大学,环境设计,,,national
中南林业科技大学,生态学,,,national
中南林业科技大学,生物技术,,,national
中南林业科技大学,英语,,,national
中南林业科技大学,计算机科学与技术,,,national
中南林业科技大学,音乐表演,,,national
中南林业科技大学,风景园林,,,national
中南林业科技大学,食品科学与工程,,,national
中南民族大学,会计学,,,national
中南民族大学,信息管理与信息系统,,,national
中南民族大学,广告学,,,national
中南民族大学,应用化学,,,national
中南民族大学,思想政治教育,,,national
中南民族大学,教育学,,,national
中南民族大学,新闻学,,,national
中南民族大学,材料化学,,,national
中南民族大学,民族学,,,national
中南民族大学,汉语言文学,,,national
中南民族大学,法学,,,national
中南民族大学,环境设计,,,national
中南民族大学,生物医学工程,,,national
中南民族大学,生物技术,,,national
中南民族大学,电子信息工程,,,national
中南民族大学,社会体育指导与管理,,,national
中南民族大学,美术学,,,national
中南民族大学,自动化,,,national
中南民族大学,英语,,,national
中南民族大学,药学,,,national
中南民族大学,行政管理,,,national
中南民族大学,计算机科学与技术,,,national
中南民族大学,通信工程,,,national
中南民族大学,音乐学,,,national
中南财经政法大学,人力资源管理,,,national
中南财经政法大学,会计学,,,national
中南财经政法大学,侦查学,,,national
中南财经政法大学,保险学,,,national
中南财经政法大学,劳动与社会保障,,,national
中南财经政法大学,商务英语,,,national
中南财经政法大学,国际商务,,,national
中南财经政法大学,国际经济与贸易,,,national
中南财经政法大学,工商管理,,,national
中南财经政法大学,市场营销,,,national
中南财经政法大学,应用统计学,,,national
中南财经政法大学,投资学,,,national
中南财经政法大学,新闻学,,,national
中南财经政法大学,旅游管理,,,national
