学科类,批次,专业,标签,判定依据,配对数_24_25,超额漂移_24_25,阈值_24_25,显著_24_25,同向率_24_25,配对数_25_26,超额漂移_25_26,阈值_25_26,显著_25_26,同向率_25_26,两段合计超额漂移,原始位次口径_24_25,原始位次口径_25_26,单元数_2024,单元数_2025,单元数_2026,供给变动_24_26,层次分化_25_26
物理学科类,专科批,应急救援技术,样本不足,配对单元数不足（4 / 6，门槛 5）,4,-0.0064,0.0483,否,0.75,6,+0.0040,0.0388,否,0.50,-0.0024,-0.0323,+0.0092,6,8,6,+0,普通公办:5个/+1.4% 民办:1个/-1.6%
物理学科类,专科批,应用英语,样本不足,配对单元数不足（3 / 2，门槛 5）,3,+0.0904,0.0571,是,0.67,2,-0.0926,0.0578,是,0.50,-0.0022,+0.0644,-0.0874,8,3,3,-5,普通公办:2个/-9.3%
物理学科类,专科批,增材制造技术,样本不足,配对单元数不足（2 / 3，门槛 5）,2,-0.0130,0.0571,否,1.00,3,+0.0148,0.0578,否,0.67,+0.0018,-0.0389,+0.0200,2,3,3,+1,普通公办:3个/+1.5%
物理学科类,专科批,交通运营管理,样本不足,配对单元数不足（2 / 2，门槛 5）,2,+0.0008,0.0571,否,0.50,2,-0.0024,0.0578,否,0.50,-0.0016,-0.0252,+0.0028,2,2,3,+1,普通公办:1个/+1.4% 民办:1个/-1.9%
物理学科类,专科批,食品生物技术,样本不足,配对单元数不足（1 / 3，门槛 5）,1,-0.0232,0.0571,否,1.00,3,+0.0218,0.0578,否,0.67,-0.0014,-0.0491,+0.0270,1,3,3,+2,普通公办:3个/+2.2%
物理学科类,专科批,冷链物流技术与管理,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0047,0.0571,否,1.00,1,+0.0036,0.0578,否,1.00,-0.0012,-0.0307,+0.0088,1,1,1,+0,普通公办:1个/+0.4%
物理学科类,专科批,现代家政服务与管理,样本不足,配对单元数不足（3 / 3，门槛 5）,3,-0.0255,0.0571,否,0.67,3,+0.0266,0.0578,否,0.67,+0.0011,-0.0514,+0.0318,4,3,3,-1,普通公办:3个/+2.7%
物理学科类,专科批,新闻采编与制作,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0407,0.0571,否,1.00,1,+0.0398,0.0578,否,1.00,-0.0010,-0.0667,+0.0450,2,2,1,-1,普通公办:1个/+4.0%
物理学科类,专科批,高速铁路施工与维护,样本不足,配对单元数不足（6 / 3，门槛 5）,6,-0.0320,0.0374,否,1.00,3,+0.0325,0.0578,否,0.67,+0.0005,-0.0579,+0.0377,6,6,5,-1,普通公办:3个/+3.2%
物理学科类,专科批,汽车电子技术,样本不足,配对单元数不足（2 / 3，门槛 5）,2,+0.0011,0.0571,否,0.50,3,-0.0007,0.0578,否,0.67,+0.0005,-0.0248,+0.0045,5,4,3,-2,普通公办:2个/+0.3% 民办:1个/-0.1%
物理学科类,专科批,城市轨道交通供配电技术,样本不足,配对单元数不足（3 / 2，门槛 5）,3,-0.0097,0.0571,否,0.67,2,+0.0096,0.0578,否,0.50,-0.0001,-0.0356,+0.0148,3,3,2,-1,普通公办:2个/+1.0%
物理学科类,专科批,热工自动化技术,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.0074,0.0571,否,1.00,1,-0.0072,0.0578,否,1.00,+0.0001,-0.0185,-0.0020,1,1,1,+0,普通公办:1个/-0.7%
物理学科类,专科批,陵园服务与管理,样本不足,缺一个年段的配对数据,1,+0.0165,0.0571,否,1.00,,,,,,,-0.0094,,1,1,1,+0,
物理学科类,专科批,计算机类,样本不足,缺一个年段的配对数据,1,+0.0384,0.0571,否,1.00,,,,,,,+0.0124,,1,2,0,-1,
物理学科类,专科批,应用俄语,样本不足,缺一个年段的配对数据,1,-0.0824,0.0571,是,1.00,,,,,,,-0.1083,,2,1,2,+0,
物理学科类,专科批,民宿管理与运营,样本不足,缺一个年段的配对数据,1,+0.0173,0.0571,否,1.00,,,,,,,-0.0086,,1,1,0,-1,
物理学科类,专科批,茶艺与茶文化,样本不足,缺一个年段的配对数据,1,+0.0897,0.0571,是,1.00,,,,,,,+0.0638,,1,2,1,+0,
物理学科类,专科批,农业生物技术,样本不足,缺一个年段的配对数据,1,-0.0005,0.0571,否,1.00,,,,,,,-0.0264,,1,1,0,-1,
物理学科类,专科批,环境监测技术,样本不足,配对单元数不足（3 / 4，门槛 5）,3,+0.0282,0.0571,否,1.00,4,-0.0282,0.0494,否,0.75,+0.0000,+0.0023,-0.0230,5,6,4,-1,普通公办:3个/-0.5% 民办:1个/-5.8%
物理学科类,专科批,动物营养与饲料,样本不足,缺一个年段的配对数据,1,+0.0043,0.0571,否,1.00,,,,,,,-0.0216,,1,1,0,-1,
物理学科类,专科批,测绘工程技术,样本不足,缺一个年段的配对数据,2,+0.0175,0.0571,否,0.50,,,,,,,-0.0084,,2,3,1,-1,
物理学科类,专科批,航空复合材料成型与加工技术,样本不足,缺一个年段的配对数据,1,+0.0802,0.0571,是,1.00,,,,,,,+0.0542,,1,2,0,-1,
物理学科类,专科批,航空材料精密成型技术,样本不足,缺一个年段的配对数据,2,-0.0177,0.0571,否,1.00,,,,,,,-0.0436,,2,2,0,-2,
物理学科类,专科批,飞行器数字化装配技术,样本不足,缺一个年段的配对数据,1,+0.0131,0.0571,否,1.00,,,,,,,-0.0128,,1,1,2,+1,
物理学科类,专科批,广播影视节目制作,样本不足,缺一个年段的配对数据,1,-0.0148,0.0571,否,1.00,,,,,,,-0.0407,,2,1,0,-2,
物理学科类,专科批,表演艺术,样本不足,缺一个年段的配对数据,2,-0.0014,0.0571,否,0.50,,,,,,,-0.0273,,2,2,0,-2,
物理学科类,专科批,文化产业经营与管理,样本不足,缺一个年段的配对数据,1,+0.0090,0.0571,否,1.00,,,,,,,-0.0169,,1,1,0,-1,
物理学科类,专科批,道路工程造价,样本不足,缺一个年段的配对数据,1,+0.0628,0.0571,是,1.00,,,,,,,+0.0369,,1,1,0,-1,
物理学科类,专科批,民航通信技术,样本不足,缺一个年段的配对数据,2,-0.0310,0.0571,否,1.00,,,,,,,-0.0569,,2,2,1,-1,
物理学科类,专科批,印刷数字图文技术,样本不足,缺一个年段的配对数据,1,-0.0157,0.0571,否,1.00,,,,,,,-0.0417,,1,1,0,-1,
物理学科类,专科批,影视编导,样本不足,缺一个年段的配对数据,1,-0.0215,0.0571,否,1.00,,,,,,,-0.0474,,2,1,1,-1,
物理学科类,专科批,播音与主持,样本不足,缺一个年段的配对数据,1,-0.0238,0.0571,否,1.00,,,,,,,-0.0498,,1,1,0,-1,
物理学科类,专科批,现代物业管理,样本不足,缺一个年段的配对数据,2,+0.0049,0.0571,否,0.50,,,,,,,-0.0210,,2,2,1,-1,
物理学科类,专科批,网络新闻与传播,样本不足,缺一个年段的配对数据,1,-0.0072,0.0571,否,1.00,,,,,,,-0.0331,,3,2,0,-3,
物理学科类,专科批,社区康复,样本不足,缺一个年段的配对数据,1,-0.1781,0.0571,是,1.00,,,,,,,-0.2041,,2,2,0,-2,
物理学科类,专科批,航海技术,样本不足,缺一个年段的配对数据,1,-0.0052,0.0571,否,1.00,,,,,,,-0.0311,,2,1,0,-2,
物理学科类,专科批,化工技术类,样本不足,缺一个年段的配对数据,1,-0.0824,0.0571,是,1.00,,,,,,,-0.1083,,1,1,0,-1,
物理学科类,专科批,统计与大数据分析,样本不足,缺一个年段的配对数据,1,-0.0036,0.0571,否,1.00,,,,,,,-0.0295,,1,1,0,-1,
物理学科类,专科批,公共卫生管理,样本不足,缺一个年段的配对数据,1,+0.0046,0.0571,否,1.00,,,,,,,-0.0213,,1,1,0,-1,
物理学科类,专科批,智慧城市管理技术,样本不足,缺一个年段的配对数据,1,+0.0127,0.0571,否,1.00,,,,,,,-0.0132,,3,3,1,-2,
物理学科类,专科批,中医骨伤,样本不足,缺一个年段的配对数据,,,,,,1,+0.0010,0.0578,否,1.00,,,+0.0062,1,1,2,+1,普通公办:1个/+0.1%
物理学科类,专科批,钻井技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0528,0.0578,否,1.00,,,-0.0476,0,1,1,+1,普通公办:1个/-5.3%
物理学科类,专科批,环境地质工程,样本不足,缺一个年段的配对数据,,,,,,1,-0.0270,0.0578,否,1.00,,,-0.0218,0,1,1,+1,普通公办:1个/-2.7%
物理学科类,专科批,材料成型及控制技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0607,0.0578,是,1.00,,,+0.0659,1,1,2,+1,普通公办:1个/+6.1%
物理学科类,专科批,动物药学,样本不足,缺一个年段的配对数据,,,,,,2,-0.0197,0.0578,否,0.50,,,-0.0145,0,2,2,+2,普通公办:1个/+0.2% 民办:1个/-4.2%
物理学科类,专科批,种子生产与经营,样本不足,缺一个年段的配对数据,,,,,,1,+0.1229,0.0578,是,1.00,,,+0.1281,0,1,3,+3,普通公办:1个/+12.3%
物理学科类,专科批,现代农业装备应用技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0527,0.0578,否,1.00,,,+0.0579,0,2,4,+4,普通公办:1个/+5.3%
物理学科类,专科批,农业电气化技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0043,0.0578,否,1.00,,,+0.0095,0,1,1,+1,普通公办:1个/+0.4%
物理学科类,专科批,业财数据应用与管理,样本不足,缺一个年段的配对数据,,,,,,3,-0.0416,0.0578,否,1.00,,,-0.0364,0,3,4,+4,普通公办:3个/-4.2%
物理学科类,专科批,维药学,样本不足,缺一个年段的配对数据,,,,,,1,-0.0270,0.0578,否,1.00,,,-0.0218,0,1,1,+1,普通公办:1个/-2.7%
物理学科类,专科批,材料工程技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0321,0.0578,否,1.00,,,-0.0269,1,1,2,+1,普通公办:1个/-3.2%
物理学科类,专科批,体育教育,样本不足,缺一个年段的配对数据,,,,,,1,+0.0928,0.0578,是,1.00,,,+0.0980,4,2,2,-2,普通公办:1个/+9.3%
物理学科类,专科批,职业指导与服务,样本不足,缺一个年段的配对数据,,,,,,1,+0.2263,0.0578,是,1.00,,,+0.2315,0,1,1,+1,普通公办:1个/+22.6%
物理学科类,专科批,物流工程技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0130,0.0578,否,1.00,,,-0.0078,2,1,2,+0,普通公办:1个/-1.3%
物理学科类,专科批,船舶涂装工程技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0081,0.0578,否,1.00,,,-0.0029,0,1,1,+1,普通公办:1个/-0.8%
物理学科类,专科批,海洋工程装备技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0229,0.0578,否,1.00,,,-0.0177,0,1,1,+1,普通公办:1个/-2.3%
物理学科类,专科批,船舶通信装备技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0519,0.0578,否,1.00,,,-0.0467,0,1,1,+1,普通公办:1个/-5.2%
物理学科类,专科批,农村电子商务,样本不足,缺一个年段的配对数据,,,,,,1,-0.0217,0.0578,否,1.00,,,-0.0165,0,1,1,+1,普通公办:1个/-2.2%
物理学科类,专科批,复合材料智能制造技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0120,0.0578,否,1.00,,,+0.0172,0,2,1,+1,普通公办:1个/+1.2%
物理学科类,专科批,汽车造型与改装技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0020,0.0578,否,1.00,,,+0.0032,0,1,3,+3,民办:1个/-0.2%
物理学科类,专科批,密码技术应用,样本不足,缺一个年段的配对数据,,,,,,1,-0.0528,0.0578,否,1.00,,,-0.0476,1,1,2,+1,普通公办:1个/-5.3%
物理学科类,专科批,煤炭清洁利用技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0298,0.0578,否,1.00,,,-0.0246,0,1,1,+1,普通公办:1个/-3.0%
物理学科类,专科批,机场电工技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.1143,0.0578,是,1.00,,,-0.1091,1,1,1,+0,普通公办:1个/-11.4%
物理学科类,专科批,动物防疫与检疫,样本不足,缺一个年段的配对数据,,,,,,1,-0.0220,0.0578,否,1.00,,,-0.0168,0,3,1,+1,普通公办:1个/-2.2%
物理学科类,专科批,水产养殖技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0051,0.0578,否,1.00,,,+0.0103,0,1,3,+3,普通公办:1个/+0.5%
物理学科类,专科批,太阳能光热技术与应用,样本不足,缺一个年段的配对数据,,,,,,1,+0.0261,0.0578,否,1.00,,,+0.0313,1,1,1,+0,普通公办:1个/+2.6%
物理学科类,专科批,社会体育,样本不足,缺一个年段的配对数据,,,,,,1,-0.0550,0.0578,否,1.00,,,-0.0498,1,1,1,+0,普通公办:1个/-5.5%
物理学科类,专科批,文物修复与保护,样本不足,缺一个年段的配对数据,,,,,,2,+0.0010,0.0578,否,0.50,,,+0.0062,0,2,2,+2,普通公办:2个/+0.1%
物理学科类,专科批,数字时尚设计,样本不足,缺一个年段的配对数据,,,,,,1,+0.0138,0.0578,否,1.00,,,+0.0190,0,1,1,+1,普通公办:1个/+1.4%
物理学科类,专科批,酿酒技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0191,0.0578,否,1.00,,,+0.0243,0,1,1,+1,普通公办:1个/+1.9%
物理学科类,专科批,有色金属智能冶金技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0642,0.0578,是,1.00,,,-0.0590,1,1,1,+0,普通公办:1个/-6.4%
物理学科类,专科批,道路养护与管理,样本不足,缺一个年段的配对数据,,,,,,1,+0.2102,0.0578,是,1.00,,,+0.2154,1,1,2,+1,普通公办:1个/+21.0%
物理学科类,专科批,智能交通技术,样本不足,缺一个年段的配对数据,,,,,,2,+0.0118,0.0578,否,1.00,,,+0.0170,1,2,2,+1,普通公办:2个/+1.2%
物理学科类,专科批,印刷媒体技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0448,0.0578,否,1.00,,,+0.0500,0,1,1,+1,普通公办:1个/+4.5%
物理学科类,专科批,微电子技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0638,0.0578,是,1.00,,,-0.0586,0,1,1,+1,普通公办:1个/-6.4%
物理学科类,专科批,制药设备应用技术,样本不足,缺一个年段的配对数据,,,,,,1,-0.0433,0.0578,否,1.00,,,-0.0381,0,1,1,+1,普通公办:1个/-4.3%
物理学科类,专科批,卫星通信与导航技术,样本不足,缺一个年段的配对数据,,,,,,1,+0.0533,0.0578,否,1.00,,,+0.0585,0,1,1,+1,普通公办:1个/+5.3%
物理学科类,专科批,心理健康教育,样本不足,缺一个年段的配对数据,,,,,,1,-0.0021,0.0578,否,1.00,,,+0.0031,1,1,1,+0,普通公办:1个/-0.2%
物理学科类,本科批,艺术史论,样本不足,配对单元数不足（1 / 2，门槛 5）,1,+0.8978,0.1093,是,1.00,2,+0.2067,0.1277,是,1.00,+1.1044,+0.9202,+0.2244,3,2,2,-1,双一流:1个/+23.2% 普通公办:1个/+18.1%
物理学科类,本科批,放射医学,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.3800,0.1093,是,1.00,1,+0.4294,0.1277,是,1.00,+0.8095,+0.4024,+0.4472,1,2,1,+0,985:1个/+42.9%
物理学科类,本科批,理科试验班类,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.1879,0.1093,是,1.00,1,+0.3877,0.1277,是,1.00,+0.5756,+0.2103,+0.4055,1,1,2,+1,985:1个/+38.8%
物理学科类,本科批,金融审计,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.2543,0.1093,是,1.00,1,+0.1828,0.1277,是,1.00,+0.4371,+0.2767,+0.2006,1,1,2,+1,普通公办:1个/+18.3%
物理学科类,本科批,武器系统与工程,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.2682,0.1093,是,1.00,1,-0.1402,0.1277,是,1.00,-0.4084,-0.2458,-0.1224,1,1,1,+0,普通公办:1个/-14.0%
物理学科类,本科批,运动人体科学,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.1028,0.1093,否,1.00,2,-0.2970,0.1277,是,1.00,-0.3998,-0.0804,-0.2793,2,2,3,+1,211:1个/-23.8% 普通公办:1个/-35.6%
物理学科类,本科批,农业工程,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.0559,0.1093,否,0.50,2,-0.3242,0.1277,是,1.00,-0.3801,-0.0335,-0.3065,2,2,2,+0,211:1个/-19.7% 985:1个/-45.2%
物理学科类,本科批,教育学,样本不足,配对单元数不足（2 / 2，门槛 5）,2,+0.1113,0.1093,是,1.00,2,+0.2058,0.1277,是,1.00,+0.3171,+0.1337,+0.2235,5,4,6,+1,普通公办:2个/+20.6%
物理学科类,本科批,信用管理,样本不足,配对单元数不足（2 / 1，门槛 5）,2,+0.1719,0.1093,是,0.50,1,+0.1299,0.1277,是,1.00,+0.3018,+0.1943,+0.1476,5,2,2,-3,普通公办:1个/+13.0%
物理学科类,本科批,历史学,样本不足,配对单元数不足（1 / 5，门槛 5）,1,+0.0704,0.1093,否,1.00,5,+0.2252,0.0870,是,1.00,+0.2956,+0.0928,+0.2429,7,5,6,-1,211:1个/+24.5% 普通公办:4个/+20.0%
物理学科类,本科批,图书馆学,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.1754,0.1093,是,1.00,1,+0.1158,0.1277,否,1.00,+0.2912,+0.1978,+0.1335,1,1,1,+0,普通公办:1个/+11.6%
物理学科类,本科批,农林智能装备工程,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.2244,0.1093,是,1.00,1,-0.0641,0.1277,否,1.00,-0.2885,-0.2020,-0.0464,1,1,2,+1,211:1个/-6.4%
物理学科类,本科批,地球化学,样本不足,配对单元数不足（1 / 3，门槛 5）,1,+0.3167,0.1093,是,1.00,3,-0.0316,0.1277,否,0.67,+0.2850,+0.3391,-0.0139,4,3,3,-1,双一流:1个/+3.7% 普通公办:2个/-5.8%
物理学科类,本科批,消防指挥,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0260,0.1093,否,1.00,1,-0.2540,0.1277,是,1.00,-0.2799,-0.0036,-0.2362,1,1,1,+0,普通公办:1个/-25.4%
物理学科类,本科批,海外安全管理,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.0645,0.1093,否,1.00,1,+0.2053,0.1277,是,1.00,+0.2698,+0.0869,+0.2230,1,1,1,+0,普通公办:1个/+20.5%
物理学科类,本科批,历史建筑保护工程,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.0646,0.1093,否,1.00,1,+0.2034,0.1277,是,1.00,+0.2680,+0.0870,+0.2212,3,2,2,-1,普通公办:1个/+20.3%
物理学科类,本科批,地理科学,样本不足,配对单元数不足（4 / 18，门槛 5）,4,+0.1292,0.0916,是,0.75,18,+0.1266,0.0397,是,0.89,+0.2558,+0.1516,+0.1443,21,20,24,+3,211:1个/+14.3% 普通公办:16个/+12.7% 民办:1个/+6.4%
物理学科类,本科批,电影制作,样本不足,配对单元数不足（2 / 2，门槛 5）,2,+0.0873,0.1093,否,1.00,2,+0.1655,0.1277,是,0.50,+0.2528,+0.1097,+0.1832,2,2,3,+1,普通公办:1个/+33.4% 民办:1个/-0.3%
物理学科类,本科批,司法鉴定学,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.1205,0.1093,是,1.00,1,+0.1267,0.1277,否,1.00,+0.2472,+0.1429,+0.1444,1,1,1,+0,普通公办:1个/+12.7%
物理学科类,本科批,特种能源技术与工程,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.1298,0.1093,是,1.00,2,-0.1053,0.1277,否,1.00,-0.2350,-0.1074,-0.0875,2,2,2,+0,普通公办:2个/-10.5%
物理学科类,本科批,考古学,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.2262,0.1093,是,1.00,1,+0.0084,0.1277,否,1.00,+0.2347,+0.2486,+0.0261,1,1,1,+0,211:1个/+0.8%
物理学科类,本科批,包装设计,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.0229,0.1093,否,1.00,1,+0.2003,0.1277,是,1.00,+0.2232,+0.0453,+0.2180,1,1,1,+0,普通公办:1个/+20.0%
物理学科类,本科批,现代殡葬管理,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.1257,0.1093,是,1.00,1,-0.0904,0.1277,否,1.00,-0.2161,-0.1033,-0.0727,1,1,1,+0,普通公办:1个/-9.0%
物理学科类,本科批,中医儿科学,样本不足,配对单元数不足（2 / 2，门槛 5）,2,+0.0522,0.1093,否,0.50,2,+0.1611,0.1277,是,1.00,+0.2133,+0.0746,+0.1789,2,2,2,+0,普通公办:2个/+16.1%
物理学科类,本科批,房地产开发与管理,样本不足,配对单元数不足（3 / 1，门槛 5）,3,+0.0646,0.1093,否,0.67,1,+0.1487,0.1277,是,1.00,+0.2132,+0.0870,+0.1664,5,4,1,-4,普通公办:1个/+14.9%
物理学科类,本科批,康复作业治疗,样本不足,配对单元数不足（2 / 1，门槛 5）,2,+0.1753,0.1093,是,0.50,1,+0.0234,0.1277,否,1.00,+0.1987,+0.1977,+0.0412,2,2,2,+0,普通公办:1个/+2.3%
物理学科类,本科批,弹药工程与爆炸技术,样本不足,配对单元数不足（4 / 2，门槛 5）,4,-0.0891,0.0916,否,1.00,2,-0.1092,0.1277,否,1.00,-0.1983,-0.0667,-0.0914,5,5,5,+0,普通公办:2个/-10.9%
物理学科类,本科批,材料类,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.1119,0.1093,是,1.00,1,-0.0861,0.1277,否,1.00,-0.1980,-0.0895,-0.0684,1,1,1,+0,985:1个/-8.6%
物理学科类,本科批,化妆品技术与工程,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.1329,0.1093,是,1.00,2,-0.0635,0.1277,否,1.00,-0.1964,-0.1105,-0.0458,3,3,3,+0,普通公办:2个/-6.4%
物理学科类,本科批,休闲体育,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0069,0.1093,否,1.00,1,+0.1914,0.1277,是,1.00,+0.1845,+0.0155,+0.2092,1,1,1,+0,211:1个/+19.1%
物理学科类,本科批,野生动物与自然保护区管理,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.0982,0.1093,否,1.00,2,-0.0824,0.1277,否,0.50,-0.1806,-0.0758,-0.0647,2,2,3,+1,211:2个/-8.2%
物理学科类,本科批,工业智能,样本不足,配对单元数不足（1 / 3，门槛 5）,1,-0.0956,0.1093,否,1.00,3,-0.0833,0.1277,否,1.00,-0.1789,-0.0732,-0.0656,1,3,4,+3,普通公办:2个/-6.7% 民办:1个/-9.9%
物理学科类,本科批,智能飞行器技术,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.2095,0.1093,是,1.00,1,+0.0334,0.1277,否,1.00,-0.1761,-0.1871,+0.0511,1,1,2,+1,211:1个/+3.3%
物理学科类,本科批,粉体材料科学与工程,样本不足,配对单元数不足（2 / 2，门槛 5）,2,-0.0194,0.1093,否,1.00,2,-0.1479,0.1277,是,1.00,-0.1674,+0.0030,-0.1302,3,4,2,-1,普通公办:2个/-14.8%
物理学科类,本科批,武器发射工程,样本不足,配对单元数不足（3 / 2，门槛 5）,3,-0.1082,0.1093,否,1.00,2,-0.0576,0.1277,否,1.00,-0.1658,-0.0858,-0.0398,3,3,2,-1,普通公办:2个/-5.8%
物理学科类,本科批,水土保持与荒漠化防治,样本不足,配对单元数不足（6 / 4，门槛 5）,6,-0.0449,0.0698,否,0.67,4,-0.1192,0.1048,是,0.75,-0.1641,-0.0225,-0.1015,7,7,5,-2,211:1个/-12.5% 985:1个/-17.2% 普通公办:2个/-5.4%
物理学科类,本科批,酿酒工程,样本不足,配对单元数不足（2 / 3，门槛 5）,2,-0.1334,0.1093,是,1.00,3,-0.0297,0.1277,否,0.67,-0.1630,-0.1110,-0.0119,2,4,3,+1,211:1个/-3.0% 985:1个/-3.1% 民办:1个/+2.1%
物理学科类,本科批,思想政治教育,样本不足,配对单元数不足（2 / 4，门槛 5）,2,+0.0664,0.1093,否,0.50,4,+0.0963,0.1048,否,0.75,+0.1628,+0.0888,+0.1141,7,6,6,-1,普通公办:4个/+9.6%
物理学科类,本科批,水质科学与技术,样本不足,配对单元数不足（1 / 3，门槛 5）,1,-0.1369,0.1093,是,1.00,3,-0.0234,0.1277,否,1.00,-0.1602,-0.1145,-0.0056,1,3,3,+2,普通公办:3个/-2.3%
物理学科类,本科批,烟草,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.1126,0.1093,是,1.00,1,-0.0455,0.1277,否,1.00,-0.1581,-0.0902,-0.0277,1,1,2,+1,普通公办:1个/-4.5%
物理学科类,本科批,光源与照明,样本不足,配对单元数不足（2 / 1，门槛 5）,2,-0.0958,0.1093,否,1.00,1,-0.0598,0.1277,否,1.00,-0.1557,-0.0734,-0.0421,2,2,2,+0,普通公办:1个/-6.0%
物理学科类,本科批,资源与环境经济学,样本不足,配对单元数不足（1 / 2，门槛 5）,1,-0.1351,0.1093,是,1.00,2,-0.0147,0.1277,否,0.50,-0.1498,-0.1128,+0.0031,1,2,2,+1,普通公办:2个/-1.5%
物理学科类,本科批,智能体育工程,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.3022,0.1093,是,1.00,1,-0.1531,0.1277,是,1.00,+0.1491,+0.3246,-0.1354,1,1,2,+1,211:1个/-15.3%
物理学科类,本科批,国际新闻与传播,样本不足,配对单元数不足（2 / 3，门槛 5）,2,+0.0807,0.1093,否,1.00,3,+0.0620,0.1277,否,0.67,+0.1428,+0.1031,+0.0797,3,3,3,+0,普通公办:2个/+8.3% 民办:1个/-1.5%
物理学科类,本科批,国际经贸规则,样本不足,配对单元数不足（1 / 2，门槛 5）,1,-0.0988,0.1093,否,1.00,2,-0.0434,0.1277,否,1.00,-0.1423,-0.0764,-0.0257,1,3,5,+4,普通公办:1个/-5.2% 民办:1个/-3.5%
物理学科类,本科批,理论与应用力学,样本不足,配对单元数不足（2 / 3，门槛 5）,2,-0.1027,0.1093,否,1.00,3,-0.0389,0.1277,否,0.67,-0.1416,-0.0803,-0.0211,3,3,3,+0,985:2个/+10.7% 普通公办:1个/-3.9%
物理学科类,本科批,智能装备与系统,样本不足,配对单元数不足（2 / 4，门槛 5）,2,-0.1113,0.1093,是,1.00,4,-0.0283,0.1048,否,1.00,-0.1396,-0.0889,-0.0106,3,4,7,+4,211:1个/-0.7% 普通公办:3个/-4.0%
物理学科类,本科批,数理基础科学,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0379,0.1093,否,1.00,1,-0.1012,0.1277,否,1.00,-0.1391,-0.0155,-0.0835,1,1,1,+0,普通公办:1个/-10.1%
物理学科类,本科批,信息资源管理,样本不足,配对单元数不足（1 / 1，门槛 5）,1,+0.0593,0.1093,否,1.00,1,+0.0757,0.1277,否,1.00,+0.1350,+0.0817,+0.0935,1,1,1,+0,普通公办:1个/+7.6%
物理学科类,本科批,生物育种技术,样本不足,配对单元数不足（1 / 2，门槛 5）,1,-0.0342,0.1093,否,1.00,2,-0.0991,0.1277,否,1.00,-0.1333,-0.0118,-0.0814,1,2,4,+3,211:1个/-18.3% 普通公办:1个/-1.5%
物理学科类,本科批,装甲车辆工程,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0746,0.1093,否,1.00,1,-0.0579,0.1277,否,1.00,-0.1325,-0.0522,-0.0402,1,1,1,+0,普通公办:1个/-5.8%
物理学科类,本科批,生物质能源与材料,样本不足,配对单元数不足（1 / 1，门槛 5）,1,-0.0609,0.1093,否,1.00,1,-0.0693,0.1277,否,1.00,-0.1302,-0.0385,-0.0515,1,1,2,+1,普通公办:1个/-6.9%
